"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Hennepin","Entire home/apt",1,1,5,28,24,298,4.8,4.72,4.8,1,0,1,2,2.46997536923365,91
"Ramsey","Private room",1,1,2,2,350,35,5,5,5,1,1,1,4,1.00806078933209,186
"Ramsey","Private room",1,1,2,2,348,16,5,5,5,1,1,1,4,1.07621693261451,163
"Ramsey","Private room",1.5,1,1,1,325,37,4.62,3.97,4.86,1,0,1,2,2.81496324376314,85
"Hennepin","Entire home/apt",1,2,4,14,114,6,5,5,5,1,0,1,3,3.20015597793314,195
"Dakota","Private room",6,6,3,1,363,16,4.94,4.94,5,0,0,1,1,6.46110634991678,250
"Hennepin","Private room",1,1,2,28,314,180,4.93,4.94,4.94,1,0,1,1,12.1621654106352,35
"Hennepin","Private room",2,1,1,30,296,21,4.5,4.3,4.85,0,0,1,8,2.12629197091319,29
"Hennepin","Entire home/apt",1,2,6,30,201,14,4.43,4,5,0,1,1,3,3.82952236662607,67
"Washington","Entire home/apt",3,6,14,2,296,48,4.92,5,4.92,1,1,1,1,15.7615617249098,754
"St. Croix","Entire home/apt",2,2,5,15,0,33,4.88,4.91,4.91,0,0,1,1,16.7909888804945,381
"Hennepin","Private room",1,1,2,1,266,60,4.78,4.66,4.88,0,0,1,1,4.4552320999844,96
"Ramsey","Entire home/apt",1,2,5,5,306,125,4.93,4.94,4.97,0,0,1,1,5.61900082024737,175
"Hennepin","Private room",1,1,2,1,359,191,4.69,4.84,4.64,1,0,1,2,2.11575155369725,38
"Hennepin","Entire home/apt",1,1,2,14,84,55,4.89,4.91,4.95,0,0,1,1,3.10066976661168,71
"Hennepin","Private room",1,1,2,30,364,51,4.8,4.78,4.92,0,0,1,2,3.56069660518112,108
"Hennepin","Private room",1,1,1,4,69,53,4.83,4.87,4.85,1,0,1,1,2.96669743035128,41
"Ramsey","Entire home/apt",3.5,5,10,4,289,5,5,5,5,0,0,1,6,3.41836605752907,379
"Hennepin","Private room",1,1,2,3,144,156,4.98,4.95,4.99,1,0,0,7,1.90751230472341,99
"Washington","Entire home/apt",2,4,12,2,320,120,4.74,4.83,4.9,1,0,1,3,10.7507038580153,121
"Hennepin","Entire home/apt",5,6,16,1,273,42,4.93,4.9,4.98,1,0,1,2,8.6759350461641,483
"Hennepin","Private room",1.5,1,2,1,358,65,4.83,4.59,4.82,1,0,1,2,5.01390776716005,64
"Wright","Entire home/apt",1.5,3,8,5,315,31,4.84,4.77,4.9,1,0,1,1,48.6480759553537,439
"Hennepin","Private room",1,1,2,1,142,24,4.96,5,4.86,0,0,1,1,4.27450541719543,59
"Ramsey","Private room",2,1,2,2,270,240,4.8,4.76,4.89,1,1,0,2,2.08459721093091,61
"Hennepin","Private room",1,1,2,30,365,3,4.33,4.67,4,0,0,0,1,1.96958085472069,1643
"Hennepin","Entire home/apt",1,1,2,365,363,15,4.79,4.64,4.93,0,0,1,2,3.55198573281353,140
"Hennepin","Entire home/apt",2,3,6,7,72,161,4.93,4.94,4.98,1,0,0,7,2.0717515937652,135
"Hennepin","Entire home/apt",1,1,2,7,211,130,4.92,4.97,4.95,0,0,1,1,2.4650871422754,68
"Hennepin","Entire home/apt",1,2,5,3,162,156,4.97,4.96,5,1,0,0,7,1.9010821953121,135
"Ramsey","Entire home/apt",1,3,6,3,175,37,4.97,4.97,4.97,1,0,1,4,4.10345589600824,164
"Hennepin","Entire home/apt",1,2,4,2,246,202,4.75,4.63,4.86,1,1,1,2,3.21706386901038,84
"Ramsey","Private room",1,1,1,30,94,29,4.69,4.52,4.72,0,0,1,2,1.13744404651321,32
"Hennepin","Entire home/apt",1,1,3,2,306,580,4.9,4.81,4.91,1,0,1,4,2.1470576930149,103
"Hennepin","Entire home/apt",1,3,6,2,309,288,4.93,4.87,4.94,1,0,1,1,1.61475815825951,169
"Hennepin","Entire home/apt",1,2,4,2,355,69,4.91,4.9,4.9,1,0,1,91,2.93170200678052,150
"Hennepin","Entire home/apt",1,1,4,2,289,308,4.9,4.93,4.97,1,0,1,3,4.20077108335934,160
"Ramsey","Entire home/apt",4,4,11,2,337,211,4.89,4.84,4.93,1,0,0,1,1.0071899486746,251
"Hennepin","Entire home/apt",1.5,3,6,2,87,50,4.8,4.86,4.79,0,0,0,1,2.13115605336079,180
