"player_name","team","archetype_name","max_membership_probability","archetype_1_prob","archetype_2_prob","archetype_3_prob","archetype_id"
"Yamada Koki","VC NAGANO TRIDENTS","Balanced Scorers",0.996309174413108,0.0036908255868917,0.996309174413108,1.99723988441322e-30,2
"Daniel Martinez Campos","HIROSHIMA THUNDERS","Volume Attackers",0.999590908208468,0.999590908208468,0.000409091791532414,5.06008337659423e-27,1
"Egor Kliuka","SUNTORY SUNBIRDS OSAKA","Volume Attackers",0.999989259824769,0.999989259824769,1.07401752308773e-05,7.87385351179877e-60,1
"Sato Shunichiro","WOLFDOGS NAGOYA","Balanced Scorers",0.9999966286418,3.37135820022276e-06,0.9999966286418,8.52510673228136e-38,2
"Fujinaka Kenya","JTEKT STINGS AICHI","Volume Attackers",0.999999534306969,0.999999534306969,4.65693031146189e-07,2.0898079003198e-63,1
"Tomita Shoma","OSAKA BLUTEON","Volume Attackers",0.999999674415262,0.999999674415262,3.25584738049114e-07,1.771414905347e-51,1
"Shigeto Tobiastakeshi","TORAY ARROWS SHIZUOKA","Volume Attackers",0.999999906283345,0.999999906283345,9.37166545147852e-08,3.60492216331473e-53,1
"Goto Rikuto","Tokyo Great Bears","Volume Attackers",0.999999975399477,0.999999975399477,2.46005226624863e-08,7.3112452224495e-65,1
"Kudo Yuji","VC NAGANO TRIDENTS","Volume Attackers",0.999999982960547,0.999999982960547,1.70394534294767e-08,9.55083444354732e-51,1
"Sakashita Junya","HIROSHIMA THUNDERS","Volume Attackers",0.999999989397821,0.999999989397821,1.0602178790715e-08,2.86767971339114e-45,1
"Yanagida Masahiro","Tokyo Great Bears","Volume Attackers",0.999999992158137,0.999999992158137,7.84186325399859e-09,2.74662458538196e-37,1
"Takanashi Kenta","NIPPON STEEL SAKAI BLAZERS","Volume Attackers",0.999999999920673,0.999999999920673,7.93274585606965e-11,4.6048517857304e-63,1
"Mizumachi Taito","WOLFDOGS NAGOYA","Volume Attackers",0.999999999952906,0.999999999952906,4.70941294433869e-11,4.98773457283764e-52,1
"Felipe Moreira Roque","HIROSHIMA THUNDERS","Volume Attackers",0.999999999974216,0.999999999974216,2.57844240282365e-11,3.29152164835047e-77,1
"Arai Yudai","HIROSHIMA THUNDERS","Volume Attackers",0.999999999986596,0.999999999986596,1.34043366832369e-11,3.65447576108027e-63,1
"Evbade-Dan Larry IK","OSAKA BLUTEON","Balanced Scorers",0.999999999995414,4.58567093973797e-12,0.999999999995414,1.4715960231775e-37,2
"Tsai Peichang","NIPPON STEEL SAKAI BLAZERS","Balanced Scorers",0.999999999998244,1.7563612151515e-12,0.999999999998244,1.42273287450681e-49,2
"Takahashi Ran","SUNTORY SUNBIRDS OSAKA","Volume Attackers",0.999999999999932,0.999999999999932,6.7967378980475e-14,4.1135600993455e-74,1
"Mart Tammearu","VOREAS HOKKAIDO","Volume Attackers",0.999999999999956,0.999999999999956,4.3764019943542e-14,1.42695913987217e-70,1
"Cooper Robinson","HIROSHIMA THUNDERS","Volume Attackers",0.99999999999996,0.99999999999996,4.05194357679976e-14,6.56111402814978e-86,1
"Nishida Yuji","OSAKA BLUTEON","Volume Attackers",0.999999999999982,0.999999999999982,1.79363165563568e-14,9.87560761687145e-79,1
"Chang Yu-Sheng","VOREAS HOKKAIDO","Volume Attackers",0.999999999999991,0.999999999999991,8.96119695285255e-15,4.76971572348637e-87,1
"Luciano Vicentin","Tokyo Great Bears","Volume Attackers",0.999999999999994,0.999999999999994,6.50324306584173e-15,7.36538394299927e-81,1
"Ulrik Dahl","NIPPON STEEL SAKAI BLAZERS","Volume Attackers",0.999999999999996,0.999999999999996,4.15905878885289e-15,2.58553801715437e-76,1
"Miwa Hiromasa","HIROSHIMA THUNDERS","Balanced Scorers",0.999999999999996,3.86640961124869e-15,0.999999999999996,6.39200891896443e-44,2
"Miyaura Kento","WOLFDOGS NAGOYA","Volume Attackers",0.999999999999997,0.999999999999997,2.8238799196067e-15,9.78110676507103e-78,1
"Ri Haku","TORAY ARROWS SHIZUOKA","Balanced Scorers",0.999999999999999,8.50099167801415e-16,0.999999999999999,1.8577618723344e-38,2
"Onodera Taishi","SUNTORY SUNBIRDS OSAKA","Balanced Scorers",1,1.45234833114084e-16,1,7.26519601359755e-34,2
"Antoine Brizard","OSAKA BLUTEON","Block-Impact Scorers",1,1.18819494901874e-78,1.15439153557551e-16,1,3
"Dmitriy Muserskiy","SUNTORY SUNBIRDS OSAKA","Volume Attackers",1,1,6.09752501994912e-24,1.85994080083837e-122,1
"Stephen Boyer","JTEKT STINGS AICHI","Volume Attackers",1,1,1.24323296997184e-19,1.38984523343269e-108,1
"Bartosz Kurek","Tokyo Great Bears","Volume Attackers",1,1,3.98186998029e-19,1.90211831131021e-106,1
"Torey Defalco","JTEKT STINGS AICHI","Volume Attackers",1,1,6.25892236952188e-21,7.99476684503478e-103,1
"Tommaso Rinaldi","NIPPON STEEL SAKAI BLAZERS","Volume Attackers",1,1,1.02881471088808e-17,2.76781669057075e-89,1
"Miguel Lopez","OSAKA BLUTEON","Volume Attackers",1,1,5.06701474554573e-19,9.96097042371208e-90,1
"Matthew Neaves","VC NAGANO TRIDENTS","Volume Attackers",1,1,9.83187619920088e-18,3.49960213142926e-89,1
"Timo Tammemaa","VOREAS HOKKAIDO","Balanced Scorers",1,1.12128988446248e-22,1,9.90035282298207e-35,2
"Norbert Huber","WOLFDOGS NAGOYA","Balanced Scorers",1,2.86037631612816e-28,1,1.35158126375308e-41,2
"Nishimoto Keigo","HIROSHIMA THUNDERS","Balanced Scorers",1,9.19943159421932e-25,1,1.16267861578698e-32,2
"Taylor Averill","TORAY ARROWS SHIZUOKA","Balanced Scorers",1,1.72487705006304e-18,1,1.269402328084e-40,2
"Watanabe Cole","NIPPON STEEL SAKAI BLAZERS","Balanced Scorers",1,2.65728330925982e-25,1,6.7835503583484e-37,2
"Miyoshi Keisuke","VOREAS HOKKAIDO","Balanced Scorers",1,4.81988125788541e-31,1,2.31293080692607e-21,2
"Oniki Ren","SUNTORY SUNBIRDS OSAKA","Balanced Scorers",1,1.93419879088821e-22,1,1.38840360477335e-36,2
"Murayama Go","Tokyo Great Bears","Balanced Scorers",1,1.46011200076698e-33,1,3.27118580330369e-30,2
"Kawaguchi Shuto","JTEKT STINGS AICHI","Balanced Scorers",1,1.05611584423107e-16,1,7.18516164871739e-42,2
"Otake Issei","Tokyo Great Bears","Balanced Scorers",1,3.4845894708292e-29,1,8.28471408699966e-23,2
"Ito Riku","Tokyo Great Bears","Balanced Scorers",1,9.7799994906292e-19,1,6.45431641132195e-18,2
"Yamagishi Jun","VOREAS HOKKAIDO","Block-Impact Scorers",1,4.02883876714002e-158,3.63160034453996e-39,1,3
"Shin Takahiro","TORAY ARROWS SHIZUOKA","Block-Impact Scorers",1,4.7134750475519e-52,1.95199201114491e-17,1,3
"Oya Masaki","NIPPON STEEL SAKAI BLAZERS","Block-Impact Scorers",1,4.19065141147609e-109,1.02327119219561e-22,1,3
