"sort_order","official_rank","player_name","team","total_points","matches","sets","attack_points","block_points","serve_points","season","competition","stat_table","source_url","accessed_date","notes","points_per_set","attack_points_per_set","block_points_per_set","serve_points_per_set","attack_share","block_share","serve_share","share_sum","archetype_1_prob","archetype_2_prob","archetype_3_prob","archetype_id","archetype_name","max_membership_probability"
1,1,"Dmitriy Muserskiy","SUNTORY SUNBIRDS OSAKA",729,37,125,598,82,49,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",5.832,4.784,0.656,0.392,0.820301783264746,0.112482853223594,0.0672153635116598,1,1,6.09752501994912e-24,1.85994080083837e-122,1,"Volume Attackers",1
2,2,"Stephen Boyer","JTEKT STINGS AICHI",705,38,140,608,71,26,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",5.03571428571429,4.34285714285714,0.507142857142857,0.185714285714286,0.862411347517731,0.100709219858156,0.0368794326241135,1,1,1.24323296997184e-19,1.38984523343269e-108,1,"Volume Attackers",1
3,3,"Bartosz Kurek","Tokyo Great Bears",644,34,132,563,61,20,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.87878787878788,4.26515151515152,0.462121212121212,0.151515151515152,0.874223602484472,0.0947204968944099,0.031055900621118,1,1,3.98186998029e-19,1.90211831131021e-106,1,"Volume Attackers",1
4,4,"Miyaura Kento","WOLFDOGS NAGOYA",611,38,146,523,42,46,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.18493150684932,3.58219178082192,0.287671232876712,0.315068493150685,0.855973813420622,0.0687397708674304,0.0752864157119476,1,0.999999999999997,2.8238799196067e-15,9.78110676507103e-78,1,"Volume Attackers",0.999999999999997
5,5,"Torey Defalco","JTEKT STINGS AICHI",583,36,115,500,45,38,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",5.0695652173913,4.34782608695652,0.391304347826087,0.330434782608696,0.857632933104631,0.0771869639794168,0.065180102915952,1,1,6.25892236952188e-21,7.99476684503478e-103,1,"Volume Attackers",1
6,6,"Chang Yu-Sheng","VOREAS HOKKAIDO",568,38,130,483,56,29,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.36923076923077,3.71538461538462,0.430769230769231,0.223076923076923,0.850352112676056,0.0985915492957746,0.051056338028169,1,0.999999999999991,8.96119695285255e-15,4.76971572348637e-87,1,"Volume Attackers",0.999999999999991
7,7,"Tommaso Rinaldi","NIPPON STEEL SAKAI BLAZERS",566,38,127,496,37,33,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.45669291338583,3.90551181102362,0.291338582677165,0.259842519685039,0.876325088339223,0.0653710247349823,0.0583038869257951,1,1,1.02881471088808e-17,2.76781669057075e-89,1,"Volume Attackers",1
8,8,"Nishida Yuji","OSAKA BLUTEON",565,38,128,467,50,48,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.4140625,3.6484375,0.390625,0.375,0.826548672566372,0.0884955752212389,0.0849557522123894,1,0.999999999999982,1.79363165563568e-14,9.87560761687145e-79,1,"Volume Attackers",0.999999999999982
9,9,"Takahashi Ran","SUNTORY SUNBIRDS OSAKA",564,38,133,468,46,50,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.2406015037594,3.5187969924812,0.345864661654135,0.37593984962406,0.829787234042553,0.0815602836879433,0.0886524822695035,1,0.999999999999932,6.7967378980475e-14,4.1135600993455e-74,1,"Volume Attackers",0.999999999999932
10,10,"Felipe Moreira Roque","HIROSHIMA THUNDERS",543,38,130,446,63,34,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.17692307692308,3.43076923076923,0.484615384615385,0.261538461538462,0.821362799263352,0.116022099447514,0.0626151012891344,1,0.999999999974216,2.57844240282365e-11,3.29152164835047e-77,1,"Volume Attackers",0.999999999974216
