"team","archetype_name","players"
"HIROSHIMA THUNDERS","Volume Attackers",5
"HIROSHIMA THUNDERS","Balanced Scorers",2
"JTEKT STINGS AICHI","Volume Attackers",3
"JTEKT STINGS AICHI","Balanced Scorers",1
"NIPPON STEEL SAKAI BLAZERS","Volume Attackers",3
"NIPPON STEEL SAKAI BLAZERS","Balanced Scorers",2
"NIPPON STEEL SAKAI BLAZERS","Block-Impact Scorers",1
"OSAKA BLUTEON","Volume Attackers",3
"OSAKA BLUTEON","Balanced Scorers",1
"OSAKA BLUTEON","Block-Impact Scorers",1
"SUNTORY SUNBIRDS OSAKA","Volume Attackers",3
"SUNTORY SUNBIRDS OSAKA","Balanced Scorers",2
"TORAY ARROWS SHIZUOKA","Balanced Scorers",2
"TORAY ARROWS SHIZUOKA","Block-Impact Scorers",1
"TORAY ARROWS SHIZUOKA","Volume Attackers",1
"Tokyo Great Bears","Volume Attackers",4
"Tokyo Great Bears","Balanced Scorers",3
"VC NAGANO TRIDENTS","Volume Attackers",2
"VC NAGANO TRIDENTS","Balanced Scorers",1
"VOREAS HOKKAIDO","Balanced Scorers",2
"VOREAS HOKKAIDO","Volume Attackers",2
"VOREAS HOKKAIDO","Block-Impact Scorers",1
"WOLFDOGS NAGOYA","Balanced Scorers",2
"WOLFDOGS NAGOYA","Volume Attackers",2
