player_id,num_events,num_trials
1,0,1
2,0,1
3,53,68
4,9,11
5,10,13
6,19,32
7,2,2
8,0,1
9,89,178
10,143,217
11,20,37
12,20,25
13,2,2
14,33,40
15,51,65
16,3,10
17,124,211
18,4,7
19,100,142
20,1,1
21,6,16
22,81,149
23,0,1
24,43,85
25,61,87
26,56,95
27,16,24
28,63,93
29,19,25
30,11,12
31,0,1
32,15,24
33,4,8
34,53,85
35,2,8
36,128,184
37,1,1
38,1,1
39,12,14
40,86,120
41,94,133
42,130,179
43,99,155
44,43,57
45,3,6
46,58,81
47,194,281
48,48,69
49,4,5
50,218,321
51,25,51
52,4,5
53,7,7
54,53,75
55,14,22
56,132,163
57,123,209
58,28,52
59,4,4
60,18,26
61,1,5
62,8,15
63,88,119
64,21,32
65,9,13
66,3,3
67,29,44
68,10,11
69,8,12
70,13,15
71,2,5
72,183,252
73,65,106
74,49,65
75,1,1
76,6,7
77,52,70
78,29,43
79,37,64
80,17,24
81,0,2
82,5,5
83,82,112
84,3,6
85,0,1
86,8,9
87,29,51
88,1,2
89,7,10
90,29,57
91,37,45
92,43,93
93,38,67
94,238,341
95,285,399
96,44,63
97,13,23
98,107,169
99,1,1
100,1,1
101,4,9
102,40,51
103,268,407
104,6,8
105,27,57
106,105,160
107,55,76
108,5,6
109,34,44
110,90,119
111,3,7
112,6,11
113,4,9
114,68,100
115,29,46
116,181,297
117,16,24
118,10,12
119,5,8
120,20,30
121,28,41
122,3,3
123,112,164
124,19,26
125,3,3
126,1,1
127,30,46
128,83,109
129,70,94
130,1,1
131,32,40
132,57,76
133,2,2
134,6,9
135,10,11
136,11,16
137,1,1
138,44,69
139,5,11
140,77,126
141,4,10
142,0,1
143,24,47
144,32,48
145,12,15
146,103,128
147,1,1
148,50,93
149,35,40
150,49,65
151,4,5
152,0,1
153,28,44
154,1,1
155,8,19
156,66,119
157,25,36
158,42,72
159,12,21
160,49,61
161,2,2
162,3,3
163,44,51
164,8,11
165,190,295
166,25,35
167,43,55
168,59,99
169,11,17
170,4,8
171,30,47
172,34,40
173,1,1
174,2,2
175,5,8
176,35,68
177,14,21
178,68,110
179,2,6
180,16,26
181,74,94
182,18,26
183,0,2
184,53,75
185,6,12
186,0,1
187,7,10
188,3,4
189,2,2
190,51,77
191,91,152
192,55,63
193,1,1
194,91,118
195,1,1
196,1,1
197,38,48
198,78,139
199,24,45
200,152,262
201,1,1
202,14,31
203,2,7
204,77,127
205,223,349
206,3,4
207,81,123
208,19,31
209,55,86
210,119,171
211,1,7
212,64,94
213,37,49
214,0,2
215,49,69
216,9,11
217,16,30
218,84,108
219,0,1
220,1,1
221,46,59
222,24,39
223,0,1
224,1,2
225,51,95
226,8,11
227,47,67
228,142,167
229,2,4
230,18,41
231,3,6
232,63,105
233,6,7
234,1,3
235,240,339
236,43,53
237,36,59
238,113,205
239,5,7
240,67,100
241,5,7
242,5,5
243,136,169
244,27,40
245,158,247
246,43,71
247,73,105
248,0,1
249,5,9
250,35,51
251,35,44
252,1,1
253,2,2
254,134,209
255,2,5
256,221,328
257,27,30
258,19,33
259,108,140
260,89,132
261,31,41
262,106,146
263,1,1
264,6,23
265,1,1
266,158,248
267,7,11
268,94,176
269,7,21
270,21,25
271,19,34
272,115,153
273,82,115
274,1,3
275,4,6
276,6,13
277,4,6
278,148,224
279,3,4
280,64,110
281,3,4
282,12,19
283,18,20
284,2,2
285,252,417
286,57,102
287,24,37
288,3,6
289,1,1
290,17,26
291,78,98
292,33,40
293,150,196
294,33,47
295,8,11
296,0,1
297,17,34
298,74,116
299,1,2
300,1,1
301,6,13
302,112,139
303,3,6
304,4,5
305,192,274
306,114,128
307,47,62
308,21,44
309,10,13
310,1,2
311,42,60
312,47,63
313,1,2
314,13,28
315,17,26
316,34,42
317,43,76
318,18,25
319,12,16
320,10,10
321,2,3
322,11,15
323,43,73
324,78,127
325,1,2
326,1,1
327,11,21
328,2,3
329,7,8
330,79,102
331,66,123
332,48,83
333,48,93
334,3,3
335,6,9
336,12,16
337,146,236
338,1,4
339,37,46
340,1,1
341,0,1
342,48,65
343,1,1
344,93,138
345,5,8
346,4,6
347,21,23
348,70,93
349,45,61
350,20,26
351,4,7
352,1,1
353,9,15
354,108,167
355,2,5
356,122,208
357,1,1
358,2,2
359,73,105
360,14,33
361,24,34
362,27,43
363,138,235
364,39,68
365,62,99
366,0,1
367,137,234
368,43,62
369,8,14
370,22,33
371,8,9
372,61,82
373,2,2
374,72,105
375,106,133
376,1,1
377,1,2
378,2,2
379,9,9
380,0,1
381,178,315
382,25,37
383,108,193
384,1,1
385,11,14
386,141,227
387,53,67
388,46,65
389,114,143
390,42,87
391,25,31
392,77,120
393,40,70
394,134,193
395,135,181
396,70,91
397,10,13
398,2,2
399,2,2
400,45,68
401,14,15
402,3,5
403,119,164
404,2,5
405,2,3
406,35,54
407,6,7
408,0,1
409,16,21
410,2,2
411,105,153
412,66,110
413,89,152
414,16,19
415,8,8
416,43,59
417,127,173
418,3,3
419,24,42
420,0,5
421,209,303
422,93,152
423,46,60
424,66,98
425,43,56
426,1,1
427,101,140
428,49,84
429,10,20
430,8,12
431,4,5
432,145,191
433,1,1
434,55,89
435,18,25
436,6,8
437,1,4
438,21,38
439,296,426
440,96,131
441,128,237
442,38,58
443,12,18
444,104,175
445,49,79
446,30,43
447,37,41
448,40,64
449,56,72
450,9,12
451,10,14
452,14,17
453,1,1
454,115,190
455,53,64
456,132,192
457,19,48
458,153,250
459,1,1
460,38,58
461,92,154
462,133,195
463,45,65
464,1,1
465,12,18
466,71,107
467,180,263
468,77,101
469,156,262
470,19,20
471,2,3
472,1,1
473,39,49
474,1,1
475,6,14
476,0,1
477,7,15
478,86,123
479,1,1
480,16,28
481,0,1
482,86,116
483,11,16
484,101,163
485,76,110
486,65,90
487,3,4
488,1,2
489,24,36
490,14,20
491,10,22
492,25,39
493,3,4
494,2,3
495,5,5
496,79,146
497,107,188
498,19,22
499,8,11
500,3,3
501,0,1
502,4,6
503,10,12
504,39,51
505,9,12
506,156,211
507,6,13
508,5,9
509,2,2
510,6,15
511,47,75
512,5,7
513,84,144
514,3,3
515,68,98
516,39,63
517,40,52
518,10,21
519,1,1
520,15,17
521,0,1
522,4,4
523,141,180
524,31,40
525,2,8
526,43,56
527,0,3
528,44,55
529,14,22
530,42,48
531,45,55
532,240,352
533,79,108
534,25,44
535,71,102
536,38,72
537,9,18
538,110,145
539,21,30
540,3,4
541,8,15
542,1,1
543,17,22
544,46,56
545,236,346
546,8,15
547,105,167
548,157,220
549,81,134
550,2,5
551,25,32
552,12,16
553,186,276
554,42,62
555,95,126
556,77,160
557,44,54
558,58,86
559,10,15
560,15,19
561,103,175
562,92,115
563,1,1
564,4,9
565,61,77
566,165,270
567,4,8
568,103,162
569,50,58
570,13,19
571,72,140
572,15,26
573,28,32
574,23,40
575,0,2
576,52,71
577,2,5
578,3,6
579,11,17
580,6,7
581,15,23
582,121,157
583,10,15
584,40,45
585,181,297
586,4,7
587,111,159
588,201,308
589,14,25
590,29,43
591,13,13
592,0,1
593,131,180
594,10,16
595,77,121
596,56,76
597,1,2
598,23,35
599,2,4
600,6,11
601,10,14
602,7,11
603,12,18
604,10,14
605,159,257
606,9,17
607,0,1
608,110,152
609,35,61
610,17,30
611,17,26
612,77,108
613,6,8
614,20,27
615,1,2
616,104,152
617,72,86
618,1,1
619,27,33
620,9,14
621,2,5
622,53,76
623,15,24
624,6,11
625,44,65
626,16,24
627,24,38
628,0,1
629,5,10
630,63,85
631,43,61
632,91,134
633,4,4
634,11,20
635,2,2
636,82,117
637,228,295
638,6,10
639,73,94
640,4,4
641,4,9
642,20,35
643,9,13
644,1,1
645,79,117
646,17,32
647,36,46
648,17,25
649,7,9
650,65,90
651,8,14
652,11,17
653,15,25
654,57,63
655,9,10
656,73,91
657,34,46
658,94,113
